monitored and supported by local public health authorities.",https://www.canada.ca/en/public-health/news/2026/05/speaking-remarks-for-the-chief-public-health-officer.html
2026-05-15,The French Minister of Health reported that the Institut Pasteur had completed full sequencing on the Andes strain detected in the French passenger on the MV Hondius and confirmed that it corresponds to the known strain circulating in South America. No elements of the identified strain signified an emergence of a variant that is more transmissible or dangerous. ,https://x.com/stephanie_rist/status/2055344643668418954
2026-05-15,"UKHSA reports that they deployed a UK Public Health Rapid Support Team (UK-PHRST) with a mobile laboratory in response to a requestion for support from the St Helena government. The team includes two microbiologists who will provide PCR testing for hantavirus on the island, in addition to supporting local testing to exclude other conditions. ",https://www.gov.uk/government/news/ukhsa-update-on-the-hantavirus-cruise-ship-outbreak
2026-05-16,"The British Columbia Provincial Health Officer reported that one of the four high risk individuals (Gh_ID20) who was self-isolating on Vancouver Island and being monitored has tested presumptive positive for Andes hantavirus. On May 14, the individual, and their spouse, who also had mild symptoms, were transported to hospital for care. Both were passengers on the MV Hondius. A third individual who was isolated in secure lodging has been transferred to hospital in Victoria for assessment and testing. Samples were sent to the Public Health Agency of Canada's National Microbiology Laboratory with results expected in the next two days. ",https://www.canada.ca/en/public-health/news/2026/05/media-update-on-andes-hantavirus-situation0.html
2026-05-16,UKHSA reports that an additional individual is leaving Arrowe Park to complete their 45 day isolation period at home. The medic with symptoms evacuated from Ascension Island has arrived in the UK and is in a High Consequence Infectious Disease (HCID) unit in Guy’s and St Thomas’ NHS Foundation Trust. The individual is not currently a confirmed case and will undergo further testing and assessment in the unit today. ,https://www.gov.uk/government/news/ukhsa-update-on-the-hantavirus-cruise-ship-outbreak
2026-05-17,"The Public Health Agency of Canada confirmed a case (Gh_ID20) of Andes hantavirus in British Columbia, Canada through laboratory testing conducted on May 16. The case was a passenger on the MV Hondius and reported by the British Columbia Provincial Health Officer as a presumptive positive case on May 16. A second individual who traveled with the confirmed case, their spouse, tested negative. The couple is reportedly from Yukon.",https://www.canada.ca/en/public-health/news/2026/05/media-update-on-andes-hantavirus-situation1.html
2026-05-17,"UKHSA confirmed that nine asymptomatic contacts from St Helena and Ascension Island will arrive in the UK today to complete their self isolation. Upon arrival, they will be transferred to Arrowe Park for close monitoring. ",https://www.gov.uk/government/news/ukhsa-update-on-the-hantavirus-cruise-ship-outbreak
2026-05-18,"The National Institute for Public Health and the Environment (RIVM) in the Netherlands and Oceanwide Expeditions reported that the MV Hondius was moored at an enclosed part of the port in Rotterdam. Twenty-seven people are still on board the ship, including 25 crew members and two medical personnel. None have symptoms and will be medically examined and tested for the Andes virus. Twenty crew members and two medical personnel will disembark and the remaining five crew members will remain on board and will disembark at a later stage in coordination with cleaning and quarantine protocols. A quarantine area on the port of Rotterdam has been established for disembarking passengers. Foreign nationals will be quarantined in temporary units, while any Dutch crew members will quarantine at home, with daily contact from municipal health service and medical care initiated if symptoms develop. The ship inspection begins today and cleaning and disinfection will commence after and take 3-4 days. EWS Group was selected by Oceanwide Expeditions to clean and disinfect the ship, and have extensive experience in this process including from the COVID-19 pandemic. Cleaners will use personal protective equipment to reduce risk of infection, and will work in conjunction with RIVM to follow a cleaning plan. ",https://www.rivm.nl/en/news/arrival-and-cleaning-of-cruise-ship-hondius
2026-05-18,"Oceanwide Expeditions reports the nationalities of individuals that have disembarked the MV Hondius in Rotterdam, the Netherlands, on May 18, including 20 crew members and two RIVM medical staff (Filipino 17, Ukranian 3, Dutch 2), and those that remain onboard the MV Hondius in coordination with cleaning and quarantine protocols (Polish 1, Russian 1, Ukranian 1, Dutch 2). ",https://www.rivm.nl/en/news/arrival-and-cleaning-of-cruise-ship-hondius
2026-05-18,UKHSA reports that Japan has supplied them doses of the antiviral medicine favipiravir (FAVI) to support the UK's preparedness and response to hantavirus. ,https://www.gov.uk/government/news/ukhsa-update-on-the-hantavirus-cruise-ship-outbreak
2026-05-21,20 British nationals who were aboard the MV Hondius have volunteered for a study run by the UKHSA International Severe Acute Respiratory and Emergency Infection Consortium (ISARIC). The study aims to answer several questions: when people become infectious and for how long; who gets sick how the disease progresses; and what risk factors are associated with severe disesae. Understanding of the virus's transmission is limited as outbreaks have been rare and mostly confined to Latin America.,https://www.telegraph.co.uk/global-health/science-and-disease/scientists-to-monitor-british-cruise-hantavirus-passengers/
2026-05-22,"RIVM reports that a Dutch national in quarantine has Andes virus, raising the total number of cases to 12 (Gh_ID23).  The person was a crew member who left the ship in Tenerife, Canary Islands, Spain, was repatriated, and has been isolating in home quarantine. Laboratory tests by RIVM, which are administered every week to all persons in quarantine in the Netherlands, indicate that the person has Andes virus. ",https://www.rivm.nl/en/hantavirus/current-information
2026-05-22,"UKHSA reports 10 individuals in total have left Arrowe Park Hospital on the Wirral, returning home or to other suitable accommodations to complete the 45-day isolation period. Additional departures are expected over the coming days.",https://www.gov.uk/government/news/ukhsa-update-on-the-hantavirus-cruise-ship-outbreak
